Edge_Number,Betweenness_Centrality,Pagerank_Values,Clustering_Coefficient,Degree_Centrality,Average_Neighbor_Degree
110,0.6893643801132787,0.002486031576608576,0.83010639100581,0.8021978021978022,255.12290502793297
112,0.14220361136660695,0.001530107163827156,0.9323452827903597,0.567032967032967,279.5546875
115,0.7692356102047732,0.003374002224850097,0.6010329840094998,1.2967032967032968,203.4512987012987
127,0.45434477416856267,0.003385355515862395,0.5461750663129974,1.3516483516483517,199.16666666666666
129,0.4230043084668635,0.0023786591785532694,0.7422234296470223,1.0,235.05676855895197
134,0.21487631311419855,0.0017223217097653105,0.9350812560253409,0.5318681318681319,279.26666666666665
136,0.6542576366364912,0.005834928842374449,0.4040037249767189,1.7604395604395604,169.73815461346632
139,0.48715689596746864,0.0035516708290110437,0.5722412795624149,1.287912087912088,200.13621262458472
153,0.574502589921092,0.002882561758524278,0.5735104104092759,1.3076923076923077,195.16770186335404
157,0.5651498281454228,0.0034147902126693414,0.656719120228602,1.10989010989011,219.1451612903226
159,0.6931112939923512,0.0026948226449492246,0.6540652142958849,1.167032967032967,213.27573529411765
167,0.16347485114004937,0.0016351376816698712,0.9096636485695597,0.5318681318681319,278.808
170,0.9641961562666408,0.004995100897124851,0.4577132194181491,1.531868131868132,182.8533724340176
173,0.22912814058188505,0.001670586102032163,0.9426941084666407,0.5472527472527473,289.3739837398374
176,0.8491504090623033,0.00818388309618344,0.4964833732886724,1.523076923076923,188.29597701149424
184,0.6438253376579367,0.004094855367627496,0.45849910362405355,1.6087912087912088,183.64066852367688
185,0.07254199544948443,0.0016788317481055016,0.9498018272202069,0.5384615384615384,291.297520661157
193,0.961920898484775,0.00438811033535705,0.5125370756893332,1.4549450549450549,188.85588235294117
195,0.32131480853947814,0.0017737229458675702,0.9508065836881756,0.4879120879120879,297.74545454545455
201,0.6397395555985864,0.0029445831882274785,0.7326454226691756,0.9714285714285714,240.11214953271028
202,0.8092946700876216,0.0027351003440266933,0.8086221019945516,0.7142857142857143,255.18125
204,0.7819722128092171,0.0038096834426561963,0.4919417728099818,1.4703296703296704,190.58536585365854
217,0.5188701166674735,0.0031448728248257233,0.5758684288007822,1.3208791208791208,201.91447368421052
221,0.08706007648738925,0.001810752432457226,0.8786146988227226,0.7142857142857143,269.6503067484663
227,0.6050442949121363,0.002522857855230326,0.7549308954794126,0.9714285714285714,236.30941704035874
241,0.5263784673476303,0.003545536784453398,0.553838364858658,1.3626373626373627,201.5830618892508
247,0.23394006874183085,0.002681075080622765,0.6026065117832574,1.2285714285714286,205.9290780141844
251,0.3780558648400058,0.00321267026075358,0.5724627038507815,1.30989010989011,206.14237288135593
252,0.9668828968388439,0.003999644733028859,0.6100276338514681,1.1846153846153846,212.62977099236642
256,0.7915767052330929,0.0022925399472331176,0.8544993500136416,0.778021978021978,262.02285714285716
257,0.021038873021251875,0.0015607249259148958,0.9375081945719156,0.545054945054945,281.4471544715447
264,0.7487824950380015,0.004023583589670983,0.4498024744342467,1.6593406593406594,177.2109375
266,0.9617369414726242,0.005383153438456302,0.4180489878844725,1.7274725274725276,172.41518987341772
268,0.5111536041051459,0.0036484554762390474,0.504716285614381,1.5164835164835164,190.96783625730995
271,0.5509657743137919,0.002809695968850963,0.6874901288328332,0.9274725274725275,223.05333333333334
274,0.29270949315002176,0.002575143862115052,0.6528710930136108,1.134065934065934,218.6225680933852
290,0.7635765115941326,0.0038891459686030082,0.4942098847517731,1.5076923076923077,191.63988095238096
293,0.630251246550806,0.004949615099552859,0.46954713644847573,1.5384615384615385,187.01754385964912
298,0.6713123880524761,0.0034660910341419732,0.5625024630541872,1.312087912087912,201.6778523489933
302,0.5946555646996176,0.0045694003461235234,0.5419200008570955,1.3450549450549452,197.4630225080386
307,0.8629132981555888,0.00467725845669898,0.45298556729193223,1.597802197802198,174.51968503937007
321,0.7365590356779783,0.002268212939465912,0.7772045985351806,0.9252747252747253,240.46190476190475
323,0.6158493488889965,0.00448435682421215,0.41343399028495403,1.7692307692307692,172.0870646766169
326,0.6618821706927434,0.003719176217060676,0.4522103963093465,1.632967032967033,177.80789473684212
331,0.6607300188797985,0.005736525079205345,0.4302819847711489,1.701098901098901,175.76943005181346
336,0.8902454373820012,0.004195671152160818,0.5572652231393941,1.3208791208791208,203.659793814433
342,0.8862274289587064,0.004599695856147189,0.4750199926048859,1.501098901098901,186.8268656716418
349,0.04892772425812073,0.0015365242674970883,0.9144141167140308,0.5428571428571428,281.3688524590164
350,0.7990753739652418,0.004166025645978386,0.5368899698619997,1.353846153846154,197.80398671096344
354,0.9279033741588807,0.0023906448913619187,0.7967471230941797,0.8373626373626374,244.3230769230769
355,0.514948927724258,0.0033741678939214963,0.5985931038064755,1.221978021978022,214.47169811320754
360,0.65508544319117,0.004703983026902114,0.517334479015919,1.4637362637362636,193.22424242424242
361,0.416396378951445,0.0025580710331718983,0.7972743198680956,0.8681318681318682,254.54301075268816
366,0.919262235561795,0.004646588708523325,0.49570289867795003,1.4857142857142858,193.0121951219512
368,0.6761920898484775,0.006595916928486906,0.3632800114148012,1.9142857142857144,163.23023255813953
369,0.6143922157138015,0.00483065914030338,0.48164829453990815,1.5142857142857142,182.81303116147308
383,0.6300285617466234,0.005762596900681118,0.3980647885410915,1.810989010989011,170.5886699507389
393,0.181367091058721,0.002122476039295863,0.7683248317544686,0.9516483516483516,236.73303167420815
394,0.7343128237401365,0.003484525318084161,0.6368247829843255,1.0857142857142856,215.32539682539684
396,0.36565328944183567,0.0028780661506067544,0.607234045397428,1.2043956043956043,207.58510638297872
398,0.005426731858449919,0.0014385789574035079,0.9350865702243991,0.5846153846153846,280.5378787878788
402,0.6668586919688241,0.004834421525902437,0.41172162725531963,1.7230769230769232,175.13054830287206
406,0.7799147988575301,0.0028622648756523325,0.6653745094988678,1.0593406593406594,218.628
408,0.7316841748559809,0.004373297824475405,0.43180319126541955,1.6615384615384616,171.3477157360406
417,0.44608607251779053,0.0022095244672219014,0.8028849985389049,0.8549450549450549,243.38536585365853
420,0.4271094544222297,0.00305946081989135,0.5465493768981046,1.3604395604395605,193.05864197530863
428,0.7577479788933533,0.0051241754508368435,0.4563431328133609,1.5406593406593407,180.8281690140845
434,0.709706152877959,0.005018072381580718,0.37090796617565025,1.8725274725274725,162.9344262295082
435,0.1063852447112359,0.0015632859807812906,0.9312869768461033,0.5164835164835165,279.97435897435895
437,0.22054993464685094,0.0016799566583622387,0.9518843208383716,0.5384615384615384,288.05785123966945
438,0.16972454857917413,0.002011388979665977,0.8355574520909302,0.7912087912087912,256.54696132596683
441,0.43213922641235414,0.0027180404610183057,0.6566813076161873,1.0571428571428572,219.19421487603304
444,0.7451275596650045,0.0032433982245318803,0.5903533887795979,1.221978021978022,210.47426470588235
8,0.8809701311903955,0.0020555754790436446,0.8702518598189477,0.7362637362637363,264.2256097560976
2,0.26153362056445756,0.0015744226997061973,0.9406558243306716,0.5758241758241758,286.80916030534354
26,0.9586968097981313,0.0039465860866505584,0.7516999074990669,0.7736263736263737,255.0700636942675
