node_id,Pagerank_Values
390.0,0.0029363745314190033
407.0,0.0033216250812635874
411.0,0.0018846725206589008
423.0,0.0018303183550983885
430.0,0.002031943576257234
432.0,0.0018092970097515057
440.0,0.004040449743677061
449.0,0.0028124000471468815
4.0,0.001601811722606645
3.0,0.0030363897197924804
5.0,0.0017633893356750459
9.0,0.002599218165834829
10.0,0.001718468586730138
11.0,0.0017964573559329723
13.0,0.0025603238569510143
18.0,0.0014217204861170318
21.0,0.0018124233794306844
28.0,0.0031165929859756527
39.0,0.0028390411040948083
41.0,0.00254744120323193
43.0,0.002065330172798121
47.0,0.0032078908240619004
51.0,0.0017821998415235383
55.0,0.0035145564038209787
64.0,0.0016960092275938906
72.0,0.0014959367328194462
85.0,0.0018138247763617857
87.0,0.0017386996177140277
91.0,0.001666622114725931
96.0,0.002167027810603576
104.0,0.0017978293566376837
106.0,0.0018573451368388753
107.0,0.0017192288440813445
109.0,0.00168271476336459
125.0,0.002941260132129664
126.0,0.0019348723096231765
128.0,0.001995502773424354
130.0,0.0019670919307155895
144.0,0.0018752236046518506
145.0,0.0018413506644759424
147.0,0.0017290398849229504
152.0,0.002055758788813328
160.0,0.0013983712190501563
161.0,0.0011826279230396533
171.0,0.001880773825719103
175.0,0.0011641489947968725
179.0,0.0017304886000042046
189.0,0.002110281723132635
192.0,0.003224126264919071
194.0,0.002788775298275305
206.0,0.0013578741063164223
210.0,0.003073381539418142
219.0,0.006665754332918714
228.0,0.0017049373288190112
231.0,0.0013645230893806792
232.0,0.0012996611297502836
238.0,0.0015719310353912793
240.0,0.002515890830443267
244.0,0.002343105502059183
250.0,0.0018485068135577437
260.0,0.0015329969882485594
263.0,0.0022179121379695597
265.0,0.0017559111197520325
270.0,0.0019996496831224068
284.0,0.00150301563543636
285.0,0.0017206293992750917
286.0,0.002901158698672938
289.0,0.002222412784923722
291.0,0.0011471795731654239
292.0,0.001286748238966777
295.0,0.0021176207585609954
296.0,0.0018956863077485538
301.0,0.0015069631088120048
312.0,0.001490231302566247
314.0,0.0021765422392627212
317.0,0.0017220772614324
325.0,0.0024332656457528453
330.0,0.0029425728847197073
337.0,0.001848604864502954
344.0,0.002896710747144568
351.0,0.0015628330085003762
