Edge_Number,Betweenness_Centrality,Pagerank_Values,Clustering_Coefficient,Degree_Centrality,Average_Neighbor_Degree
139.0,0.5317825245806058,0.004064270131818966,0.5749573378839591,1.4215938303341902,185.63028169014083
153.0,0.640149206265073,0.0030434675611866334,0.6155810314233419,1.377892030848329,187.40893470790377
157.0,0.7279370842498608,0.003956940545123435,0.6905380229210185,1.1876606683804627,212.76712328767124
159.0,0.6662271751517239,0.0030664863294486244,0.6622366695273411,1.2802056555269923,198.4313725490196
167.0,0.36335568335409324,0.0018572589829947076,0.9162398137369033,0.5861182519280205,257.2773109243698
170.0,0.9766848647072853,0.005528576416831851,0.5001313280416888,1.588688946015424,177.03642384105962
173.0,0.2540084276362865,0.0019007274233285038,0.9470253095212008,0.6041131105398457,266.0854700854701
176.0,0.8898113057535844,0.009053198889679011,0.5342228172399629,1.6169665809768636,180.78412698412697
178.0,0.481117324357989,0.004785386478080446,0.4521525059967176,1.8329048843187659,166.3221288515406
184.0,0.6458471364588027,0.004380200034482242,0.47485690206131265,1.7377892030848328,172.0808383233533
185.0,0.06192192510534545,0.0019207744941431622,0.9512539476128553,0.5989717223650385,266.73275862068965
193.0,0.9753465136617814,0.0051083845095895326,0.5118735516193973,1.6169665809768636,174.91950464396285
195.0,0.33724458696631593,0.0020560560272083164,0.9516022391678054,0.5501285347043702,272.5607476635514
201.0,0.6290978718893276,0.0026138988151961904,0.7802446846118883,1.025706940874036,222.74129353233832
202.0,0.8242917340259189,0.0031640823282292714,0.8100912153833512,0.8046272493573264,234.73548387096776
204.0,0.6960883046670023,0.004066373863851839,0.508329086926144,1.588688946015424,178.83223684210526
217.0,0.46797895741128454,0.003382330539219543,0.5813280373890326,1.455012853470437,186.8166089965398
221.0,0.08975565155169216,0.0020260942349698535,0.8873523893609977,0.7763496143958868,248.69281045751634
227.0,0.33591286142103727,0.0028334110875195234,0.7651958230725516,1.0591259640102828,219.52884615384616
230.0,0.7493175734767975,0.005575776969209243,0.42947546518909696,1.9023136246786632,162.0458221024259
241.0,0.4086674793946943,0.004042107506950673,0.553296159830637,1.5141388174807198,186.45205479452054
